user;system
0.113055;0.003898
0.36622;0.007961
0.657173;0.011948
1.03719;0.011967
1.50779;0.015955
2.05041;0.027978
2.70541;0.027978
3.42544;0.027979
4.23562;0.027979
5.15413;0.027989
6.14301;0.031994
7.22936;0.032006
8.40423;0.036
9.73061;0.036
11.1253;0.036
12.6697;0.039992
14.3081;0.043988
16.0253;0.044003
17.834;0.044004
19.7543;0.044004
21.7361;0.052
23.8789;0.052
25.9187;0.052
28.1586;0.052
30.3707;0.055982
32.7284;0.055982
35.175;0.059971
37.9912;0.059973
40.7443;0.063975
43.6335;0.063978
46.5392;0.063978
49.5565;0.063978
52.6348;0.063979
55.9329;0.063979
59.3508;0.06798
62.8411;0.075977
66.4478;0.079975
70.1575;0.083977
73.9353;0.083977
77.8791;0.087976
81.9195;0.087977
86.0729;0.091975
90.361;0.091976
94.462;0.103975
98.6958;0.107973
103.044;0.107974
107.579;0.107975
112.368;0.107976
117.021;0.107976
121.745;0.111975
126.574;0.119975
131.842;0.131973
136.87;0.131974
142.126;0.131975
148.65;0.139971
156.231;0.283925
164.868;0.411849
173.258;0.439871
180.108;0.439873
187.63;0.443881
194.689;0.451873
202.978;0.479844
211.914;0.483849
219.732;0.487849
228.462;0.491848
236.231;0.495854
243.96;0.495854
250.662;0.50385
257.89;0.503855
265.479;0.507853
273.237;0.511858
282.32;0.511861
292.208;0.515858
301.038;0.587809
308.274;0.591811
315.999;0.599815
323.307;0.603818
332.198;0.603818
343.718;0.607805
352.308;0.61981
364.386;0.619819
374.357;0.62782
385.182;0.631833
397.071;0.655825
409.222;0.719778
418.208;0.723764
426.987;0.723768
439.602;0.727764
450.754;0.727776
459.61;0.727781
469.056;0.735779
478.738;0.73978
489.037;0.739783
498.068;0.739785
509.958;0.743793
524.498;0.759794
539.28;0.795781
552.277;0.795781
565.689;0.795792
579.491;0.803793
